Date,Open,High,Low,Close,Adj Close,Volume
1998-03-23,16.779877,16.779877,16.779877,16.779877,13.283093,1073
1998-03-24,17.012930,17.420774,17.012930,17.420774,13.790428,116711
1998-03-25,17.653830,17.682961,17.479038,17.682961,13.997975,27891
1998-03-26,17.566433,17.595566,17.391644,17.595566,13.928795,76163
1998-03-27,17.537302,17.537302,16.954666,17.187721,13.605939,847444
1998-03-30,16.954666,17.158588,16.663349,16.750746,13.260030,384890
1998-03-31,16.838140,16.983799,16.546824,16.692480,13.213907,644701
1998-04-01,16.313768,16.372032,15.731134,16.255505,12.867989,1004918
1998-04-02,16.255505,17.071194,16.255505,17.012930,13.467579,1046539
1998-04-03,16.954666,17.362511,16.663349,17.275116,13.675133,766990
1998-04-06,17.216852,17.333380,16.779877,16.779877,13.283093,417715
1998-04-07,16.896404,16.896404,16.080715,16.459429,13.029425,1516388
1998-04-08,16.459429,16.546824,16.109846,16.401163,12.983296,602007
1998-04-09,16.430296,16.809008,16.080715,16.080715,12.729632,711209
1998-04-13,15.847661,16.138979,15.731134,16.138979,12.775755,1257864
1998-04-14,16.197243,16.896404,16.197243,16.867271,13.352274,1577532
1998-04-15,17.362511,17.362511,17.012930,17.333380,13.721251,596858
1998-04-16,17.304249,17.304249,16.342901,16.401163,12.999028,422864
1998-04-17,16.401163,16.459429,15.935056,16.022451,12.698876,788444
1998-04-20,15.993320,16.022451,15.585476,15.585476,12.352544,577120
1998-04-21,15.643739,15.818529,14.798919,14.798919,11.729140,825346
1998-04-22,14.798919,15.148500,14.798919,15.061105,11.936937,1218817
1998-04-23,14.857182,14.973709,14.682392,14.973709,11.867674,976169
1998-04-24,14.915446,15.206763,14.915446,15.148500,12.006207,862676
1998-04-27,15.061105,15.206763,14.915446,15.148500,12.006207,861818
1998-04-28,15.177631,15.731134,15.148500,15.527212,12.306360,305509
1998-04-29,15.643739,15.643739,15.323290,15.439817,12.237097,948279
1998-04-30,15.410685,15.498080,14.915446,14.915446,11.821497,1989240
1998-05-01,14.915446,15.614607,14.915446,15.556344,12.329451,940341
1998-05-04,15.964188,16.051582,15.847661,15.964188,12.652690,462340
1998-05-05,15.964188,15.964188,15.847661,15.964188,12.652690,227844
1998-05-06,15.964188,16.080715,15.381554,15.381554,12.190918,743605
1998-05-07,15.148500,15.323290,14.857182,14.915446,11.821497,869542
1998-05-08,14.915446,15.265027,14.915446,15.031973,11.913849,607156
1998-05-11,15.031973,15.119368,14.682392,14.740655,11.682961,1053834
1998-05-12,14.711524,14.828051,14.216284,14.216284,11.267363,1263871
1998-05-13,14.332811,15.498080,14.332811,15.352422,12.167830,2205070
1998-05-14,15.235895,15.323290,14.857182,15.265027,12.098559,356141
1998-05-15,15.265027,15.614607,15.061105,15.468949,12.260180,380599
1998-05-18,15.585476,15.847661,15.527212,15.614607,12.375628,539146
1998-05-19,15.672871,15.847661,15.556344,15.585476,12.352544,433805
1998-05-20,15.702003,16.517691,15.702003,16.488560,13.068296,652424
1998-05-21,16.459429,16.459429,15.964188,16.022451,12.698876,607370
1998-05-22,16.080715,16.080715,15.818529,15.818529,12.537252,535284
1998-05-26,15.964188,16.022451,15.702003,15.702003,12.444897,1083870
1998-05-27,15.702003,16.226374,15.643739,16.051582,12.721964,570040
1998-05-28,15.935056,16.168110,15.905925,16.051582,12.721964,552233
1998-05-29,16.080715,16.313768,16.080715,16.197243,12.837406,1080008
1998-06-01,15.964188,16.546824,15.905925,16.226374,12.860493,758623
1998-06-02,16.255505,16.313768,15.847661,15.935056,12.629605,502030
1998-06-03,15.789398,16.080715,15.789398,15.935056,12.629605,761627
1998-06-04,15.760266,16.284637,15.643739,16.284637,12.906672,895501
1998-06-05,16.226374,16.401163,16.226374,16.313768,12.929758,871472
1998-06-08,16.313768,16.372032,15.585476,15.643739,12.398717,915239
1998-06-09,15.206763,15.410685,15.119368,15.119368,11.983117,1026587
1998-06-10,15.148500,15.323290,14.886314,14.944578,11.844585,1434647
1998-06-11,14.973709,15.119368,14.740655,14.798919,11.729140,797241
1998-06-12,14.973709,15.090236,14.711524,14.915446,11.821497,916526
1998-06-15,14.798919,14.886314,14.507602,14.507602,11.498250,642126
1998-06-16,14.565865,15.265027,14.565865,14.973709,11.867674,700482
1998-06-17,15.002841,15.265027,14.944578,14.944578,11.844585,1868881
1998-06-18,14.973709,14.973709,14.682392,14.682392,11.636787,757765
1998-06-19,14.594997,14.682392,14.478470,14.507602,11.498250,814833
1998-06-22,14.740655,14.915446,13.983230,14.041494,11.128834,862676
1998-06-23,14.216284,14.711524,14.216284,14.653260,11.613697,1113691
1998-06-24,14.507602,14.798919,14.420206,14.798919,11.747826,1458676
1998-06-25,14.682392,14.798919,14.536733,14.536733,11.539694,847229
1998-06-26,14.594997,14.653260,14.420206,14.594997,11.585944,1260438
1998-06-29,14.711524,14.915446,14.711524,14.798919,11.747826,790804
1998-06-30,14.740655,15.090236,14.594997,15.090236,11.979079,1761396
1998-07-01,15.061105,15.323290,14.828051,15.002841,11.909705,1254002
1998-07-02,15.002841,15.002841,14.711524,14.740655,11.701572,522411
1998-07-06,14.769787,15.031973,14.711524,14.915446,11.840325,771066
1998-07-07,14.915446,14.944578,14.653260,14.828051,11.770952,8416725
1998-07-08,14.944578,15.381554,14.944578,15.352422,12.187213,1722134
1998-07-09,15.352422,15.352422,15.265027,15.265027,12.117834,1448163
1998-07-10,15.265027,15.352422,15.206763,15.265027,12.117834,1476697
1998-07-13,15.206763,15.294158,15.031973,15.177631,12.048458,1116909
1998-07-14,15.119368,15.206763,15.031973,15.119368,12.002207,1696175
1998-07-15,15.119368,15.148500,14.682392,14.740655,11.701572,4195382
1998-07-16,14.915446,15.031973,14.828051,14.886314,11.817201,1040103
1998-07-17,14.886314,14.915446,14.740655,14.857182,11.794077,3208272
1998-07-20,14.857182,15.061105,14.798919,15.061105,11.955954,1938608
1998-07-21,15.061105,15.177631,14.798919,14.798919,11.747826,1290903
1998-07-22,14.857182,15.702003,14.828051,15.702003,12.464725,2199706
1998-07-23,15.614607,15.614607,15.119368,15.148500,12.025336,634188
1998-07-24,15.090236,15.235895,14.740655,14.973709,11.886575,597072
1998-07-27,14.944578,15.847661,14.798919,15.847661,12.580351,862247
1998-07-28,15.731134,15.964188,15.672871,15.905925,12.626599,904512
1998-07-29,16.022451,16.080715,15.323290,15.498080,12.302841,856240
